run_key,dataset,model,attack_id,attribute,target_items,selected_items,filler_items,budget,fake_users,unprivileged_group,privileged_group,precision,recall,ndcg,precision_m,recall_m,ndcg_m,precision_f,recall_f,ndcg_f,precision_y,recall_y,ndcg_y,precision_o,recall_o,ndcg_o,precision_gender_ratio,recall_gender_ratio,ndcg_gender_ratio,precision_age_ratio,recall_age_ratio,ndcg_age_ratio,mannwhitney_u,p_value
rk_0a80acb8180b3751ae94,ml-100k,slim-i,cfair_favorite_push_random,gender,10,102,,0.25,68,f,m,0.13719646799117,0.2120563089106135,0.1907633301914204,0.1411674347158218,0.2080157511033087,0.1928730919925675,0.1270588235294117,0.2223716153127918,0.1853772324167273,,,,,,,0.9000576073737439,1.0690133517935063,0.9611357940166736,,,,,
rk_7a66e2fdcc5bc5491cb8,ml-100k,slim-i,cfair_favorite_push_random,gender,10,102,,0.5,136,f,m,0.1362030905077262,0.2105697466624619,0.1894995488689845,0.1402457757296467,0.2064735571648014,0.1916539381654411,0.1258823529411764,0.2210270774976657,0.1839995197239131,,,,,,,0.8975839185619482,1.070486121964994,0.9600612514681514,,,,,
rk_3a0ef0e88d473eba479d,ml-100k,slim-i,cfair_favorite_push_random,gender,10,102,,0.75,205,f,m,0.1360927152317881,0.2104085637198219,0.1894514151352077,0.1402457757296467,0.2064028478775022,0.1915616296103446,0.1254901960784313,0.2206349206349206,0.1840641617104464,,,,,,,0.8947877069776432,1.0689528894769174,0.9608613274216306,,,,,
rk_37696e412f66ed4b335c,ml-100k,slim-i,cfair_favorite_push_random,gender,10,102,,1.0,273,f,m,0.1354304635761589,0.2099854584953922,0.1890264071574033,0.1394777265745007,0.2059676200229195,0.1910879969085847,0.1250980392156862,0.2202427637721755,0.1837632897926228,,,,,,,0.8969033428349312,1.069307708404202,0.9616684080922888,,,,,
rk_48b87ba89b41364a2c85,ml-100k,slim-i,cfair_favorite_push_random,gender,10,102,,2.0,546,f,m,0.1360927152317881,0.2104913451767756,0.1891397987779858,0.1403993855606758,0.2069020798283471,0.1912407771546053,0.1250980392156862,0.2196545284780579,0.1837761245694396,,,,,,,0.8910155747200411,1.0616351882991737,0.9609672544933712,,,,,
rk_55898b52c1dd4406889f,ml-100k,slim-i,cfair_favorite_push_random,gender,10,102,,3.0,819,f,m,0.1357615894039735,0.2100971477627106,0.1886953106234461,0.1399385560675883,0.2063534732889571,0.1908098440065471,0.1250980392156862,0.2196545284780579,0.1832970312807059,,,,,,,0.8939497643184605,1.0644576268918684,0.9606267026475668,,,,,
rk_b276f594647c12364ec6,ml-100k,slim-u,cfair_favorite_push_random,gender,10,102,,0.1,27,f,m,0.1328918322295806,0.2019543431795087,0.185977850276543,0.1367127496159754,0.1989308268110111,0.1883535634201673,0.1231372549019607,0.2096732026143791,0.1799127943687023,,,,,,,0.9007005948446793,1.0540005587649492,0.9551865709456434,,,,,
rk_4c2eb27a8e3ea4cf7646,ml-100k,slim-u,cfair_favorite_push_random,gender,10,102,,0.25,68,f,m,0.1330022075055187,0.2031824871228844,0.18569625671452,0.1368663594470046,0.2004266939750811,0.188606990291611,0.1231372549019607,0.2102178649237472,0.178265325111829,,,,,,,0.8996897075328449,1.048851631259674,0.9451681766206416,,,,,
rk_3c84ee79b2218ed41dff,ml-100k,slim-u,cfair_favorite_push_random,gender,10,102,,0.5,136,f,m,0.133112582781457,0.2028207014961981,0.1854963651427944,0.1367127496159754,0.2004864311315924,0.1885193511214496,0.1239215686274509,0.2087799564270152,0.1777788597619923,,,,,,,0.9064375413086582,1.041367015456419,0.9430271147467612,,,,,
rk_f893e37154f7084c0245,ml-100k,slim-u,cfair_favorite_push_random,gender,10,102,,0.75,205,f,m,0.1335540838852097,0.2047522688251165,0.1860956647076693,0.1370199692780337,0.2013824884792626,0.189078361747941,0.1247058823529411,0.213355119825708,0.1784810146166227,,,,,,,0.91012925349512,1.0594521968461934,0.9439526181983448,,,,,
rk_dca6c36be4c2c4ed89f5,ml-100k,slim-u,cfair_favorite_push_random,gender,10,102,,1.0,273,f,m,0.1335540838852097,0.2047522688251165,0.1858947401478667,0.1368663594470046,0.2012288786482335,0.1886738506486788,0.1250980392156862,0.2137472766884531,0.1787998345163818,,,,,,,0.9140159767610748,1.062209749039565,0.9476662181942584,,,,,
rk_675c1a5dc3ad0e4601a4,ml-100k,slim-u,cfair_favorite_push_random,gender,10,102,,2.0,546,f,m,0.1338852097130242,0.2054040085497039,0.1862354251627996,0.137173579109063,0.2018286884646331,0.1891359913618451,0.1254901960784313,0.2145315904139433,0.1788304502781776,,,,,,,0.9148277452078254,1.0629390303526456,0.9455125330220652,,,,,
rk_695b9320033f7856cbfd,ml-100k,slim-u,cfair_favorite_push_random,gender,10,102,,3.0,819,f,m,0.1334437086092715,0.2045210063421984,0.1859981601113388,0.1368663594470046,0.2015214688025747,0.1890216577780491,0.1247058823529411,0.2121786492374728,0.1782793484210312,,,,,,,0.911150722915429,1.052883598448454,0.9431688967111296,,,,,
rk_7ae449d9a7da63307d55,ml-100k,svd,cfair_favorite_push_random,gender,10,102,,0.1,27,f,m,0.1197571743929359,0.1847252882021094,0.1623735688409313,0.1274961597542242,0.1895539219271938,0.1702189726916483,0.1,0.1723980703392468,0.1423447143043951,,,,,,,0.7843373493975905,0.9094935551133758,0.8362447032402935,,,,,
rk_2fbed5adce5a66eb3496,ml-100k,svd,cfair_favorite_push_random,gender,10,102,,0.25,68,f,m,0.1162251655629139,0.1819159746312064,0.1596589062392417,0.123195084485407,0.1855436081242533,0.1665275244901645,0.0984313725490196,0.1726548397136632,0.1421237278810034,,,,,,,0.7989878245562566,0.930535098778726,0.8534548767005635,,,,,
rk_f79c66c29b875ee9e00f,ml-100k,svd,cfair_favorite_push_random,gender,10,102,,0.5,136,f,m,0.1139072847682119,0.1785122989593188,0.1563764826576208,0.1208909370199692,0.182319630361105,0.1625831500882171,0.096078431372549,0.1687924058512293,0.1405312258053923,,,,,,,0.7947529710740714,0.9258048928517276,0.8643652538971012,,,,,
rk_f93a0cf64c00b79c6d66,ml-100k,svd,cfair_favorite_push_random,gender,10,102,,0.75,205,f,m,0.1109271523178807,0.1710772977329268,0.1530847255859829,0.1170506912442396,0.1745751347133835,0.1584252926760383,0.0952941176470588,0.1621475256769374,0.1394505719560769,,,,,,,0.8141269106067623,0.9288122615122152,0.8802292209820147,,,,,
rk_52e3fc85929669e0da68,ml-100k,svd,cfair_favorite_push_random,gender,10,102,,1.0,273,f,m,0.1080573951434878,0.1664927818073513,0.1493863732127256,0.1130568356374807,0.1679217565162265,0.1538216928420441,0.0952941176470588,0.1628446934329287,0.13806326310023,,,,,,,0.8428868286445013,0.9697653050526112,0.8975539181070118,,,,,
rk_741ee7bfb84f485f70c1,ml-100k,svd,cfair_favorite_push_random,gender,10,102,,2.0,546,f,m,0.1022075055187638,0.1584879463190721,0.1440421588814867,0.1076804915514593,0.1614640479847853,0.1485003434382249,0.088235294117647,0.1508901338313102,0.1326606759542845,,,,,,,0.8194176386674498,0.9345122689202529,0.893335819182603,,,,,
rk_d192a2e405721028911b,ml-100k,svd,cfair_favorite_push_random,gender,10,102,,3.0,819,f,m,0.0987858719646799,0.1535263148673744,0.1405200112440833,0.1038402457757296,0.155211152561383,0.1439076997166597,0.0858823529411764,0.1492250233426704,0.1318714418493881,,,,,,,0.8270623042116254,0.9614323512200892,0.9163612656517348,,,,,
rk_841bf22536411011f129,ml-100k,mf,cfair_favorite_push_random,gender,10,102,,0.1,67,m,f,0.0806843267108167,0.1264401345527173,0.1133243972058419,0.0823348694316436,0.1223526686660327,0.1116443415163421,0.0764705882352941,0.1368751945222533,0.1176134805543294,,,,,,,1.0766867541061087,0.8938995052616378,0.9492478327326608,,,,,
rk_8f2ff9d83519cdf4db4f,ml-100k,mf,cfair_favorite_push_random,gender,10,102,,0.25,168,m,f,0.0741721854304635,0.1102478187743088,0.0949489219904268,0.0734254992319508,0.1035141296662033,0.0924886177747586,0.076078431372549,0.1274385309679427,0.1012299339292504,,,,,,,0.9651289847498692,0.8122671289442471,0.9136488999330858,,,,,
