dataset,model,model_kind,attack_id,attack,c_fairness,p_value,significant_p_0_05,p_value_bh_all,significant_bh_all,included_in_table
ml-100k,mf,base,cfair_influencer_push_random,C-Fair Influencer,0.9009401651623608,0.3835983332629304,False,0.7847936868811842,False,False
ml-100k,mf,base,cfair_sampling_push_random,Sampling,0.9638777821762492,0.8118117574858406,False,0.9627240130839279,False,False
ml-100k,mf,base,cfair_influencer_top1_push_random,Top-1,0.9245385797794052,0.5820333150102379,False,0.8436861484766094,False,False
ml-100k,mf,base,cfair_influencer_top5_push_random,Top-5,0.9811292850575066,0.6653390958477617,False,0.8934386922447429,False,False
ml-100k,mf,base,cfair_influencer_top10_push_random,Top-10,0.9399908559981364,0.4872964257693715,False,0.8014811799214844,False,False
ml-100k,mf-absolute-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.8896624635117665,0.0454555967225566,True,0.3061285748794156,False,True
ml-100k,mf-absolute-gender,fair,cfair_sampling_push_random,Sampling,0.920331802904232,0.0074298000481789,True,0.14532252315628222,False,True
ml-100k,mf-absolute-gender,fair,cfair_influencer_top1_push_random,Top-1,0.937088396962901,0.0165310536401131,True,0.19932958943503787,False,True
ml-100k,mf-absolute-gender,fair,cfair_influencer_top5_push_random,Top-5,0.7593515816260223,0.0046077564902281,True,0.1151939122557025,False,True
ml-100k,mf-absolute-gender,fair,cfair_influencer_top10_push_random,Top-10,0.8643842312797991,0.0151625059866638,True,0.19932958943503787,False,True
ml-100k,mf-over-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.9819411470706012,0.3614339194094063,False,0.7802203420346734,False,False
ml-100k,mf-over-gender,fair,cfair_sampling_push_random,Sampling,0.962078804186856,0.1926382812450056,False,0.5962613467107316,False,False
ml-100k,mf-over-gender,fair,cfair_influencer_top1_push_random,Top-1,0.893778001917917,0.2707062546753885,False,0.671599486790086,False,False
ml-100k,mf-over-gender,fair,cfair_influencer_top5_push_random,Top-5,0.9246232144523824,0.4456642552552139,False,0.8014811799214844,False,False
ml-100k,mf-over-gender,fair,cfair_influencer_top10_push_random,Top-10,0.9539946598337478,0.432043573233316,False,0.8014811799214844,False,False
ml-100k,mf-under-gender,fair,cfair_influencer_push_random,C-Fair Influencer,0.8988789564852816,0.5548221118604361,False,0.8271430566726685,False,False
ml-100k,mf-under-gender,fair,cfair_sampling_push_random,Sampling,0.9367877082820408,0.433959853023726,False,0.8014811799214844,False,False
ml-100k,mf-under-gender,fair,cfair_influencer_top1_push_random,Top-1,0.9467362791370504,0.7943529502240527,False,0.9609417848005137,False,False
ml-100k,mf-under-gender,fair,cfair_influencer_top5_push_random,Top-5,0.955292654007912,0.5030835713968702,False,0.8014811799214844,False,False
ml-100k,mf-under-gender,fair,cfair_influencer_top10_push_random,Top-10,0.8848550579154781,0.3887747187319097,False,0.7847936868811842,False,False
