key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_345e875dcf93d57d34d0,ml-100k,ease-i,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
rk_d2eddbc51f3c36a6d2d6,ml-100k,ease-u,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
rk_877a1ff5d7efee740106,ml-100k,ease-u,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_f94686cc5e84525bafd0,ml-100k,ease-u,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_717f8a13f2f2340f6459,ml-100k,ease-u,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
rk_b71261e28f245758c8ba,ml-100k,ease-u,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
rk_1c6b2f2ac37f2df915a5,ml-100k,slim-i,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
rk_5cae021ca90e3188070e,ml-100k,slim-i,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_2ed73e80475b28c36c0a,ml-100k,slim-i,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_07ce1553e9b047a562a6,ml-100k,slim-i,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
rk_8c03785929d48fc34a8b,ml-100k,slim-i,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
rk_db951739a0e0149bcfb1,ml-100k,slim-u,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
rk_cb2e7360aff5300573fe,ml-100k,slim-u,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.25,168
rk_a62daeec461bd216e128,ml-100k,slim-u,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.5,336
rk_7fae11f6edc141b6631d,ml-100k,slim-u,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.75,503
rk_dd6141947afb34bcf85b,ml-100k,slim-u,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,1.0,671
rk_c9cca45ebd9d94c43f7d,ml-100k,svd,cfair_reverse_favorite_nuke_favorite,age,y,o,10,80,,0.1,67
