key,dataset,model,attack_id,attribute,unprivileged_group,privileged_group,target_items,selected_items,filler_items,budget,fake_users
rk_e39deb3f1f4a3ccabe06,ml-100k,slim-u,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_554416566e75755fa8ff,ml-100k,slim-u,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_14d0663783052ad369d1,ml-100k,svd,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_cc214110e7fef7a0751d,ml-100k,svd,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_2da1aa72329af57adb38,ml-100k,svd,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_1752d974ae65de072a21,ml-100k,svd,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_8df82d181c0beedc7624,ml-100k,svd,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_b1550393d8111462dd6b,ml-100k,mf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_bb2a4c457444ff8ed76d,ml-100k,mf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_0023c4e90716d5602eeb,ml-100k,mf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_9ee1bf96f7e4b597c312,ml-100k,mf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_7f3ff98338ceeafce023,ml-100k,mf,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_9f1dfc66c626c97f69f6,ml-100k,nmf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_3477ffcb27ad8acedda5,ml-100k,nmf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_62da7722c853c19e151a,ml-100k,nmf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_0f6e1d01d128f99191b2,ml-100k,nmf,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_19668fdefda1ecbf70d0,ml-100k,nmf,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_acc69158d806181cacb0,ml-100k,bnslim-u-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_a7115dc5372ba56e1973,ml-100k,bnslim-u-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_63a1c3db0618c7ec0643,ml-100k,bnslim-u-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_1b4d36960319c308f60b,ml-100k,bnslim-u-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_a0ea2843a6a68e7ba449,ml-100k,bnslim-u-age,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_95fc9aa00486443baa4e,ml-100k,mf-value-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_2db2c62d36830f32bea3,ml-100k,mf-value-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_cb72db9f4b3f14034fba,ml-100k,mf-value-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_8d70cb5048c501290fc3,ml-100k,mf-value-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_9e0484f693a7b01c97f9,ml-100k,mf-value-age,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_7581eb095626874d2c1e,ml-100k,mf-absolute-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_63f921bdd6399ba58564,ml-100k,mf-absolute-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_0e4117d7caed5742998f,ml-100k,mf-absolute-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_af555818cd59e3f9ed2b,ml-100k,mf-absolute-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_2e3f27bdaaa3c03a1c37,ml-100k,mf-absolute-age,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_a9d9593ade150d490b13,ml-100k,mf-under-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_9c11914e89b358579616,ml-100k,mf-under-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_528b77d65f9b6bf1b701,ml-100k,mf-under-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_2b1d83ba9daa6101287b,ml-100k,mf-under-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_72f4772128a172dd56e3,ml-100k,mf-under-age,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
rk_5a3244946281409ca36d,ml-100k,mf-over-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.1,67
rk_ee2b65da9ec63ace98ab,ml-100k,mf-over-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.25,168
rk_69892a694519c1de89eb,ml-100k,mf-over-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.5,336
rk_c3b4dca5b60c55fbd46c,ml-100k,mf-over-age,cfair_influencer_push_least_favorite,age,y,o,10,,,0.75,503
rk_d70b645cf3644f192667,ml-100k,mf-over-age,cfair_influencer_push_least_favorite,age,y,o,10,,,1.0,671
