run_key,dataset,model,attack_id,attribute,target_items,selected_items,filler_items,budget,fake_users,unprivileged_group,privileged_group,precision,recall,ndcg,precision_f,recall_f,ndcg_f,precision_m,recall_m,ndcg_m,precision_y,recall_y,ndcg_y,precision_o,recall_o,ndcg_o,precision_gender_ratio,recall_gender_ratio,ndcg_gender_ratio,precision_age_ratio,recall_age_ratio,ndcg_age_ratio,mannwhitney_u,p_value
rk_e9e0fb2ee81554c35aa6,ml-100k,mf,cfair_influencer_push_least_favorite,age,10,,,3.0,2013,y,o,0.0490066225165563,0.0681365850240022,0.0614382120346649,,,,,,,,,,,,,,,,,,,,
rk_9f1dfc66c626c97f69f6,ml-100k,nmf,cfair_influencer_push_least_favorite,age,10,,,0.1,67,y,o,0.1123620309050772,0.1718407267248327,0.1545704300335729,,,,,,,0.111335403726708,0.1610427141871241,0.1487023274097727,0.1148854961832061,0.1983824063976736,0.1689943158722267,,,,0.9690988630032398,0.8117792152611606,0.8799250237635426,88295.0,0.12455502017612763
rk_3477ffcb27ad8acedda5,ml-100k,nmf,cfair_influencer_push_least_favorite,age,10,,,0.25,168,y,o,0.1125827814569536,0.1725012263919549,0.1513371223899243,,,,,,,0.1130434782608695,0.1614167406092872,0.146940209186339,0.1114503816793893,0.1997470616745425,0.1621448021727828,,,,1.014294222751638,0.8081057075687612,0.9062283046838486,88161.0,0.13502871719487958
rk_62da7722c853c19e151a,ml-100k,nmf,cfair_influencer_push_least_favorite,age,10,,,0.5,336,y,o,0.1141280353200882,0.1742781807351343,0.157182277492821,,,,,,,0.1141304347826086,0.1628438331854481,0.1536372032819528,0.1141221374045801,0.2023839815824548,0.1658961240264053,,,,1.0000727061218553,0.8046280733888151,0.9261048392999144,87078.0,0.214974134866247
rk_19668fdefda1ecbf70d0,ml-100k,nmf,cfair_influencer_push_least_favorite,age,10,,,1.0,671,y,o,0.1146799116997792,0.1766459932022846,0.1595692236710607,,,,,,,0.1156832298136646,0.1678552942916297,0.1560920402942025,0.1122137404580152,0.198253665333818,0.1681161934981471,,,,1.030918578611569,0.8466693113037596,0.9284771267196392,88167.0,0.13234316632917698
rk_64692a7caa3a33e6a0aa,ml-100k,nmf,cfair_influencer_push_least_favorite,age,10,,,2.0,1342,y,o,0.1171081677704194,0.1781829251200112,0.1586286534966488,,,,,,,,,,,,,,,,,,,,
rk_be9aebc96e848030eb02,ml-100k,nmf,cfair_influencer_push_least_favorite,age,10,,,3.0,2013,y,o,0.1135761589403973,0.1742269350713059,0.154679109061153,,,,,,,,,,,,,,,,,,,,
rk_acc69158d806181cacb0,ml-100k,bnslim-u-age,cfair_influencer_push_least_favorite,age,10,,,0.1,67,y,o,0.1299116997792494,0.1985348996110585,0.1833289542206425,,,,,,,0.1285714285714285,0.186742704328108,0.1766559552097695,0.133206106870229,0.2275202956500666,0.1997312876672162,,,,0.9652067130577158,0.8207738294051982,0.8844681134991036,91133.5,0.006803849990461951
rk_a7115dc5372ba56e1973,ml-100k,bnslim-u-age,cfair_influencer_push_least_favorite,age,10,,,0.25,168,y,o,0.1309050772626931,0.1991989032551946,0.1839899483275003,,,,,,,0.1277950310559006,0.1852638519175786,0.1759660493616429,0.1385496183206106,0.2334514721919302,0.203712814487852,,,,0.9223773591362526,0.7935861366736874,0.8637946994352496,90415.5,0.023629769850046594
rk_63a1c3db0618c7ec0643,ml-100k,bnslim-u-age,cfair_influencer_push_least_favorite,age,10,,,0.5,336,y,o,0.1307947019867549,0.2005343564946214,0.1850467998202801,,,,,,,0.1281055900621118,0.1862152469683525,0.1771321078743515,0.1374045801526717,0.2357309463225494,0.2045012334583641,,,,0.932324016563147,0.7899482434247527,0.8661664522938691,92112.5,0.00809757063439528
rk_a0ea2843a6a68e7ba449,ml-100k,bnslim-u-age,cfair_influencer_push_least_favorite,age,10,,,1.0,671,y,o,0.132008830022075,0.2016805949752969,0.1861123428877311,,,,,,,0.1305900621118012,0.1900430099576062,0.1788306155926266,0.1354961832061068,0.2302859566218345,0.2040109397505073,,,,0.9637914443180824,0.8252479341138745,0.8765736573309515,89985.0,0.04376023224566039
