dataset,attack_id,model,model_kind,p_value,significant_uncorrected,p_value_bh,significant_bh
ftky,bandwagon,mf-absolute-gender,fair,0.0499250290240873,True,0.8510248042948175,False
ftky,bandwagon,mf-under-gender,fair,0.5100174740252853,False,0.9867541411800274,False
ftky,bandwagon,mf-over-gender,fair,0.0902311457110348,False,0.8510248042948175,False
ftky,bandwagon,neumf,base,0.747444018588342,False,0.9867541411800274,False
ftky,reverse_bandwagon,ease-i,base,0.8993581818606915,False,1.0,False
ftky,reverse_bandwagon,ease-u,base,0.9433536092877338,False,1.0,False
ftky,reverse_bandwagon,slim-i,base,0.4182597701474145,False,0.9867541411800274,False
ftky,reverse_bandwagon,slim-u,base,0.6929952441961489,False,0.9867541411800274,False
ftky,reverse_bandwagon,svd,base,0.5945424170914227,False,0.9867541411800274,False
ftky,reverse_bandwagon,mf,base,0.3420995788448975,False,0.9867541411800274,False
ftky,reverse_bandwagon,nmf,base,0.9423084650635496,False,1.0,False
ftky,reverse_bandwagon,bnslim-u-gender,fair,0.4188673187853055,False,0.9867541411800274,False
ftky,reverse_bandwagon,mf-value-gender,fair,0.1667848804816634,False,0.8510248042948175,False
ftky,reverse_bandwagon,mf-absolute-gender,fair,0.0263530251572745,True,0.8510248042948175,False
ftky,reverse_bandwagon,mf-under-gender,fair,0.5627577394138025,False,0.9867541411800274,False
ftky,reverse_bandwagon,mf-over-gender,fair,0.1313600277155719,False,0.8510248042948175,False
ftky,reverse_bandwagon,neumf,base,0.4295155632534935,False,0.9867541411800274,False
fnyc,power_user,ease-i,base,0.0290620023525721,True,0.8510248042948175,False
fnyc,power_user,ease-u,base,0.2125881979688709,False,0.9421522409984052,False
fnyc,power_user,slim-i,base,0.567974181909207,False,0.9867541411800274,False
fnyc,power_user,slim-u,base,0.796878944522088,False,0.9867541411800274,False
fnyc,power_user,svd,base,0.7387482570996136,False,0.9867541411800274,False
fnyc,power_user,mf,base,0.8569963854323959,False,1.0,False
fnyc,power_user,nmf,base,0.7911273807965833,False,0.9867541411800274,False
fnyc,power_user,bnslim-u-gender,fair,0.7462902919937696,False,0.9867541411800274,False
fnyc,power_user,mf-value-gender,fair,0.5615561395600381,False,0.9867541411800274,False
fnyc,power_user,mf-absolute-gender,fair,0.1761395362242531,False,0.8510248042948175,False
fnyc,power_user,mf-under-gender,fair,0.6253472032548402,False,0.9867541411800274,False
fnyc,power_user,mf-over-gender,fair,0.2099266847132071,False,0.9421522409984052,False
fnyc,power_user,neumf,base,0.6643012702120376,False,0.9867541411800274,False
fnyc,bandwagon,ease-i,base,0.1235038473460022,False,0.8510248042948175,False
fnyc,bandwagon,ease-u,base,0.6696640745151591,False,0.9867541411800274,False
fnyc,bandwagon,slim-i,base,0.3634633337355892,False,0.9867541411800274,False
fnyc,bandwagon,slim-u,base,0.1749954786074902,False,0.8510248042948175,False
fnyc,bandwagon,svd,base,0.1532597853436869,False,0.8510248042948175,False
fnyc,bandwagon,mf,base,0.8389999669575036,False,0.9975914241263,False
fnyc,bandwagon,nmf,base,0.3504442732508955,False,0.9867541411800274,False
fnyc,bandwagon,bnslim-u-gender,fair,0.3765575303411704,False,0.9867541411800274,False
fnyc,bandwagon,mf-value-gender,fair,0.3605055314232396,False,0.9867541411800274,False
fnyc,bandwagon,mf-absolute-gender,fair,0.1135345035287841,False,0.8510248042948175,False
fnyc,bandwagon,mf-under-gender,fair,0.5096903694994891,False,0.9867541411800274,False
fnyc,bandwagon,mf-over-gender,fair,0.3601230625875022,False,0.9867541411800274,False
fnyc,bandwagon,neumf,base,0.5824984641811085,False,0.9867541411800274,False
fnyc,reverse_bandwagon,ease-i,base,0.1441869244624168,False,0.8510248042948175,False
fnyc,reverse_bandwagon,ease-u,base,0.0525444619692741,False,0.8510248042948175,False
fnyc,reverse_bandwagon,slim-i,base,0.9053968448014276,False,1.0,False
fnyc,reverse_bandwagon,slim-u,base,1.0,False,1.0,False
fnyc,reverse_bandwagon,svd,base,0.1756946919918235,False,0.8510248042948175,False
fnyc,reverse_bandwagon,mf,base,0.564955996697163,False,0.9867541411800274,False
fnyc,reverse_bandwagon,nmf,base,0.3191379605622237,False,0.9867541411800274,False
fnyc,reverse_bandwagon,bnslim-u-gender,fair,1.0,False,1.0,False
fnyc,reverse_bandwagon,mf-value-gender,fair,0.5547299253165905,False,0.9867541411800274,False
fnyc,reverse_bandwagon,mf-absolute-gender,fair,0.0406954980030477,True,0.8510248042948175,False
fnyc,reverse_bandwagon,mf-under-gender,fair,0.5048813288661325,False,0.9867541411800274,False
fnyc,reverse_bandwagon,mf-over-gender,fair,0.1044961508253001,False,0.8510248042948175,False
fnyc,reverse_bandwagon,neumf,base,0.4535794939602023,False,0.9867541411800274,False
